IP:PORT, LOSS, DELAY
162.159.195.75:3138,0.00%,144 ms
162.159.192.125:3138,0.00%,145 ms
162.159.192.232:3138,0.00%,147 ms
162.159.192.70:3138,0.00%,152 ms
162.159.192.87:3138,0.00%,153 ms
162.159.192.215:903,0.00%,153 ms
162.159.192.215:3138,0.00%,154 ms
162.159.192.232:903,0.00%,154 ms
162.159.195.75:903,0.00%,154 ms
162.159.192.70:903,0.00%,154 ms
162.159.192.125:903,0.00%,155 ms
162.159.192.128:3138,0.00%,155 ms
162.159.195.7:903,0.00%,156 ms
162.159.195.7:3138,0.00%,156 ms
162.159.195.92:3138,0.00%,157 ms
162.159.192.158:3138,0.00%,157 ms
162.159.195.92:903,0.00%,157 ms
162.159.195.76:3138,0.00%,157 ms
162.159.195.212:903,0.00%,159 ms
162.159.195.191:3138,0.00%,160 ms
162.159.192.96:3138,0.00%,160 ms
162.159.192.147:3138,0.00%,160 ms
162.159.195.169:3138,0.00%,161 ms
162.159.195.236:903,0.00%,162 ms
162.159.195.186:3138,0.00%,163 ms
162.159.192.117:903,0.00%,163 ms
162.159.195.206:3138,0.00%,163 ms
162.159.195.96:903,0.00%,163 ms
162.159.195.6:3138,0.00%,163 ms
162.159.195.6:903,0.00%,164 ms
162.159.195.186:903,0.00%,165 ms
162.159.195.169:903,0.00%,165 ms
162.159.195.178:3138,0.00%,166 ms
162.159.192.5:3138,0.00%,167 ms
162.159.195.119:3138,0.00%,168 ms
162.159.195.188:3138,0.00%,170 ms
162.159.195.103:903,0.00%,170 ms
162.159.192.5:903,0.00%,170 ms
162.159.192.220:903,0.00%,171 ms
162.159.192.165:3138,0.00%,171 ms
162.159.195.188:903,0.00%,171 ms
162.159.192.240:903,0.00%,172 ms
162.159.192.239:903,0.00%,173 ms
162.159.192.126:903,0.00%,173 ms
162.159.192.96:903,0.00%,173 ms
162.159.195.156:3138,0.00%,174 ms
162.159.195.76:903,0.00%,174 ms
162.159.195.156:903,0.00%,174 ms
162.159.195.212:3138,0.00%,174 ms
162.159.192.239:3138,0.00%,174 ms
162.159.192.87:903,0.00%,174 ms
162.159.192.222:3138,0.00%,174 ms
162.159.192.222:903,0.00%,175 ms
162.159.192.176:3138,0.00%,175 ms
162.159.195.236:3138,0.00%,175 ms
162.159.195.246:903,0.00%,176 ms
162.159.195.178:903,0.00%,177 ms
162.159.192.186:903,0.00%,177 ms
162.159.192.220:3138,0.00%,177 ms
162.159.192.128:903,0.00%,177 ms
162.159.195.246:3138,0.00%,178 ms
162.159.192.147:903,0.00%,178 ms
162.159.195.103:3138,0.00%,178 ms
162.159.195.191:903,0.00%,179 ms
162.159.192.240:3138,0.00%,179 ms
162.159.192.158:903,0.00%,179 ms
162.159.195.213:903,0.00%,180 ms
162.159.195.206:903,0.00%,181 ms
162.159.192.186:3138,0.00%,182 ms
162.159.192.165:903,0.00%,182 ms
162.159.195.96:3138,0.00%,184 ms
162.159.195.213:3138,0.00%,185 ms
188.114.96.53:903,0.00%,187 ms
162.159.195.119:903,0.00%,189 ms
188.114.98.229:903,0.00%,193 ms
188.114.99.98:903,0.00%,196 ms
188.114.98.134:903,0.00%,200 ms
188.114.99.198:3138,0.00%,200 ms
188.114.97.53:903,0.00%,202 ms
188.114.98.220:903,0.00%,202 ms
188.114.98.166:3138,0.00%,203 ms
188.114.96.180:903,0.00%,208 ms
188.114.96.25:3138,0.00%,208 ms
188.114.98.127:903,0.00%,208 ms
188.114.97.81:3138,0.00%,208 ms
188.114.99.98:3138,0.00%,209 ms
188.114.98.182:3138,0.00%,209 ms
188.114.96.53:3138,0.00%,210 ms
188.114.96.133:903,0.00%,210 ms
188.114.96.180:3138,0.00%,210 ms
188.114.99.58:3138,0.00%,211 ms
188.114.98.47:903,0.00%,211 ms
188.114.96.77:3138,0.00%,212 ms
188.114.96.25:903,0.00%,212 ms
188.114.97.117:903,0.00%,212 ms
188.114.97.245:903,0.00%,212 ms
188.114.96.254:903,0.00%,212 ms
188.114.96.189:3138,0.00%,212 ms
188.114.98.161:3138,0.00%,213 ms
188.114.96.108:903,0.00%,213 ms
188.114.97.81:903,0.00%,213 ms
188.114.96.136:3138,0.00%,213 ms
188.114.97.110:3138,0.00%,213 ms
188.114.97.110:903,0.00%,213 ms
188.114.97.53:3138,0.00%,213 ms
188.114.98.154:903,0.00%,214 ms
188.114.99.158:3138,0.00%,215 ms
188.114.99.58:903,0.00%,215 ms
188.114.97.202:903,0.00%,215 ms
188.114.96.108:3138,0.00%,216 ms
188.114.99.188:903,0.00%,217 ms
188.114.99.188:3138,0.00%,217 ms
188.114.99.150:3138,0.00%,217 ms
188.114.98.166:903,0.00%,218 ms
188.114.96.254:3138,0.00%,218 ms
188.114.98.229:3138,0.00%,219 ms
188.114.97.150:3138,0.00%,219 ms
188.114.99.180:3138,0.00%,219 ms
188.114.98.161:903,0.00%,220 ms
188.114.97.234:3138,0.00%,220 ms
188.114.99.163:3138,0.00%,220 ms
188.114.96.153:903,0.00%,221 ms
188.114.97.25:903,0.00%,222 ms
188.114.97.15:903,0.00%,222 ms
188.114.96.110:3138,0.00%,223 ms
188.114.97.189:3138,0.00%,224 ms
188.114.96.23:3138,0.00%,224 ms
188.114.99.129:903,0.00%,225 ms
188.114.97.223:3138,0.00%,225 ms
188.114.97.239:903,0.00%,225 ms
188.114.97.136:3138,0.00%,225 ms
188.114.98.118:903,0.00%,225 ms
188.114.99.149:3138,0.00%,225 ms
188.114.98.134:3138,0.00%,225 ms
188.114.96.40:903,0.00%,225 ms
188.114.97.15:3138,0.00%,226 ms
188.114.99.149:903,0.00%,226 ms
188.114.98.220:3138,0.00%,226 ms
188.114.99.250:903,0.00%,226 ms
188.114.97.223:903,0.00%,226 ms
188.114.97.82:3138,0.00%,226 ms
188.114.99.129:3138,0.00%,227 ms
188.114.97.202:3138,0.00%,227 ms
188.114.97.239:3138,0.00%,227 ms
188.114.96.99:3138,0.00%,227 ms
188.114.96.203:3138,0.00%,228 ms
188.114.99.230:903,0.00%,228 ms
188.114.98.118:3138,0.00%,228 ms
188.114.98.15:3138,0.00%,228 ms
188.114.99.163:903,0.00%,228 ms
188.114.96.23:903,0.00%,229 ms
188.114.97.117:3138,0.00%,229 ms
188.114.97.136:903,0.00%,229 ms
188.114.96.189:903,0.00%,229 ms
188.114.96.77:903,0.00%,229 ms
188.114.99.0:903,0.00%,229 ms
188.114.97.189:903,0.00%,229 ms
188.114.97.25:3138,0.00%,229 ms
188.114.99.198:903,0.00%,229 ms
188.114.96.201:903,0.00%,230 ms
188.114.98.154:3138,0.00%,230 ms
188.114.96.133:3138,0.00%,231 ms
188.114.99.150:903,0.00%,232 ms
188.114.98.193:3138,0.00%,232 ms
188.114.96.40:3138,0.00%,232 ms
188.114.98.182:903,0.00%,233 ms
188.114.97.150:903,0.00%,233 ms
188.114.98.241:903,0.00%,233 ms
188.114.98.127:3138,0.00%,233 ms
188.114.98.9:3138,0.00%,233 ms
188.114.97.135:3138,0.00%,233 ms
188.114.96.201:3138,0.00%,233 ms
188.114.99.250:3138,0.00%,233 ms
188.114.97.16:3138,0.00%,233 ms
188.114.98.36:903,0.00%,233 ms
188.114.97.234:903,0.00%,233 ms
188.114.99.70:3138,0.00%,233 ms
188.114.98.123:3138,0.00%,233 ms
188.114.98.234:903,0.00%,233 ms
188.114.99.252:3138,0.00%,234 ms
188.114.98.234:3138,0.00%,234 ms
188.114.96.153:3138,0.00%,234 ms
188.114.99.180:903,0.00%,234 ms
188.114.98.87:3138,0.00%,234 ms
188.114.98.193:903,0.00%,234 ms
188.114.99.252:903,0.00%,235 ms
188.114.98.47:3138,0.00%,235 ms
188.114.97.108:903,0.00%,235 ms
188.114.99.158:903,0.00%,235 ms
188.114.97.135:903,0.00%,236 ms
188.114.99.232:3138,0.00%,236 ms
188.114.96.130:903,0.00%,236 ms
188.114.96.130:3138,0.00%,236 ms
188.114.96.203:903,0.00%,236 ms
188.114.99.70:903,0.00%,237 ms
188.114.99.0:3138,0.00%,237 ms
188.114.97.16:903,0.00%,237 ms
188.114.97.31:903,0.00%,237 ms
188.114.96.136:903,0.00%,237 ms
188.114.98.15:903,0.00%,237 ms
188.114.98.123:903,0.00%,238 ms
188.114.97.82:903,0.00%,238 ms
188.114.98.241:3138,0.00%,238 ms
188.114.98.9:903,0.00%,239 ms
188.114.98.36:3138,0.00%,239 ms
188.114.97.245:3138,0.00%,239 ms
188.114.99.230:3138,0.00%,240 ms
188.114.97.31:3138,0.00%,240 ms
188.114.97.108:3138,0.00%,240 ms
188.114.99.232:903,0.00%,240 ms
188.114.96.99:903,0.00%,241 ms
188.114.96.110:903,0.00%,241 ms
188.114.98.87:903,0.00%,241 ms
162.159.192.126:3138,10.00%,271 ms
162.159.204.116:903,100.00%,1000 ms
162.159.204.252:3138,100.00%,1000 ms
162.159.193.155:903,100.00%,1000 ms
162.159.193.184:903,100.00%,1000 ms
188.114.96.12:3138,100.00%,1000 ms
162.159.204.103:903,100.00%,1000 ms
162.159.193.182:3138,100.00%,1000 ms
162.159.193.51:3138,100.00%,1000 ms
162.159.204.214:903,100.00%,1000 ms
162.159.193.155:3138,100.00%,1000 ms
162.159.204.233:903,100.00%,1000 ms
162.159.204.207:3138,100.00%,1000 ms
162.159.193.2:3138,100.00%,1000 ms
162.159.193.4:3138,100.00%,1000 ms
162.159.193.4:903,100.00%,1000 ms
162.159.192.117:3138,100.00%,1000 ms
162.159.193.192:3138,100.00%,1000 ms
162.159.204.185:903,100.00%,1000 ms
162.159.193.97:903,100.00%,1000 ms
162.159.193.106:3138,100.00%,1000 ms
162.159.204.233:3138,100.00%,1000 ms
162.159.193.126:3138,100.00%,1000 ms
162.159.193.192:903,100.00%,1000 ms
162.159.204.42:3138,100.00%,1000 ms
162.159.193.121:3138,100.00%,1000 ms
162.159.193.121:903,100.00%,1000 ms
162.159.204.43:3138,100.00%,1000 ms
162.159.193.113:3138,100.00%,1000 ms
162.159.204.180:3138,100.00%,1000 ms
162.159.204.180:903,100.00%,1000 ms
162.159.204.185:3138,100.00%,1000 ms
162.159.193.240:3138,100.00%,1000 ms
162.159.193.69:903,100.00%,1000 ms
162.159.204.63:3138,100.00%,1000 ms
162.159.204.116:3138,100.00%,1000 ms
162.159.204.56:903,100.00%,1000 ms
162.159.204.41:3138,100.00%,1000 ms
162.159.193.140:3138,100.00%,1000 ms
162.159.204.249:903,100.00%,1000 ms
162.159.193.225:903,100.00%,1000 ms
162.159.193.2:903,100.00%,1000 ms
162.159.193.97:3138,100.00%,1000 ms
162.159.193.120:3138,100.00%,1000 ms
162.159.204.103:3138,100.00%,1000 ms
188.114.96.12:903,100.00%,1000 ms
162.159.204.106:903,100.00%,1000 ms
162.159.204.252:903,100.00%,1000 ms
162.159.193.240:903,100.00%,1000 ms
162.159.204.70:903,100.00%,1000 ms
162.159.204.41:903,100.00%,1000 ms
162.159.204.70:3138,100.00%,1000 ms
162.159.193.140:903,100.00%,1000 ms
162.159.193.106:903,100.00%,1000 ms
162.159.193.109:3138,100.00%,1000 ms
162.159.193.126:903,100.00%,1000 ms
162.159.193.184:3138,100.00%,1000 ms
162.159.204.171:903,100.00%,1000 ms
162.159.193.153:903,100.00%,1000 ms
162.159.204.249:3138,100.00%,1000 ms
162.159.204.50:903,100.00%,1000 ms
162.159.204.171:3138,100.00%,1000 ms
162.159.204.155:903,100.00%,1000 ms
162.159.204.50:3138,100.00%,1000 ms
162.159.193.109:903,100.00%,1000 ms
162.159.204.214:3138,100.00%,1000 ms
162.159.193.182:903,100.00%,1000 ms
162.159.204.177:3138,100.00%,1000 ms
162.159.193.225:3138,100.00%,1000 ms
188.114.97.4:903,100.00%,1000 ms
162.159.193.51:903,100.00%,1000 ms
162.159.204.177:903,100.00%,1000 ms
188.114.97.4:3138,100.00%,1000 ms
162.159.193.142:903,100.00%,1000 ms
162.159.193.142:3138,100.00%,1000 ms
162.159.204.106:3138,100.00%,1000 ms
162.159.204.42:903,100.00%,1000 ms
162.159.204.43:903,100.00%,1000 ms
162.159.192.176:903,100.00%,1000 ms
162.159.193.153:3138,100.00%,1000 ms
162.159.193.120:903,100.00%,1000 ms
162.159.204.155:3138,100.00%,1000 ms
162.159.193.113:903,100.00%,1000 ms
162.159.204.56:3138,100.00%,1000 ms
162.159.204.207:903,100.00%,1000 ms
162.159.204.63:903,100.00%,1000 ms
162.159.193.69:3138,100.00%,1000 ms
