IP:PORT, LOSS, DELAY
162.159.195.34:880,0.00%,144 ms
162.159.192.236:894,0.00%,149 ms
162.159.195.34:894,0.00%,150 ms
162.159.195.172:880,0.00%,153 ms
162.159.192.236:880,0.00%,154 ms
162.159.195.111:894,0.00%,155 ms
162.159.195.148:894,0.00%,156 ms
162.159.192.13:880,0.00%,156 ms
162.159.195.167:880,0.00%,157 ms
162.159.192.13:894,0.00%,159 ms
162.159.195.146:894,0.00%,161 ms
162.159.195.139:880,0.00%,162 ms
162.159.192.111:880,0.00%,163 ms
162.159.192.185:880,0.00%,164 ms
162.159.192.128:880,0.00%,164 ms
162.159.192.69:880,0.00%,164 ms
162.159.192.69:894,0.00%,165 ms
162.159.192.189:880,0.00%,167 ms
162.159.192.26:880,0.00%,167 ms
162.159.192.223:880,0.00%,168 ms
162.159.195.109:880,0.00%,168 ms
162.159.195.109:894,0.00%,170 ms
162.159.195.88:880,0.00%,170 ms
162.159.192.185:894,0.00%,170 ms
162.159.195.172:894,0.00%,171 ms
162.159.195.127:894,0.00%,171 ms
162.159.195.127:880,0.00%,173 ms
162.159.195.146:880,0.00%,173 ms
162.159.195.139:894,0.00%,173 ms
162.159.195.188:894,0.00%,174 ms
162.159.195.188:880,0.00%,176 ms
162.159.195.54:880,0.00%,176 ms
162.159.195.153:880,0.00%,177 ms
162.159.192.223:894,0.00%,177 ms
162.159.195.76:894,0.00%,177 ms
162.159.195.153:894,0.00%,179 ms
162.159.195.76:880,0.00%,180 ms
162.159.192.189:894,0.00%,181 ms
162.159.195.111:880,0.00%,182 ms
188.114.97.223:880,0.00%,184 ms
162.159.192.26:894,0.00%,184 ms
162.159.192.166:894,0.00%,184 ms
188.114.97.223:894,0.00%,185 ms
188.114.99.20:894,0.00%,188 ms
188.114.98.199:880,0.00%,197 ms
188.114.97.129:880,0.00%,197 ms
162.159.192.128:894,0.00%,197 ms
188.114.97.129:894,0.00%,197 ms
188.114.99.23:894,0.00%,200 ms
188.114.99.169:894,0.00%,202 ms
188.114.99.97:894,0.00%,204 ms
188.114.99.23:880,0.00%,204 ms
188.114.98.175:894,0.00%,204 ms
188.114.98.98:894,0.00%,204 ms
188.114.97.105:894,0.00%,205 ms
188.114.98.73:894,0.00%,205 ms
188.114.97.166:880,0.00%,206 ms
188.114.97.166:894,0.00%,208 ms
188.114.96.62:894,0.00%,208 ms
188.114.98.21:880,0.00%,209 ms
188.114.96.72:880,0.00%,209 ms
188.114.99.97:880,0.00%,210 ms
188.114.99.249:880,0.00%,210 ms
188.114.98.144:894,0.00%,210 ms
188.114.99.249:894,0.00%,210 ms
188.114.99.20:880,0.00%,211 ms
188.114.99.169:880,0.00%,211 ms
188.114.96.72:894,0.00%,211 ms
188.114.98.175:880,0.00%,212 ms
188.114.97.60:880,0.00%,214 ms
188.114.97.23:894,0.00%,215 ms
188.114.98.144:880,0.00%,216 ms
188.114.99.253:894,0.00%,216 ms
188.114.99.215:894,0.00%,217 ms
188.114.96.168:880,0.00%,217 ms
188.114.98.73:880,0.00%,218 ms
188.114.99.86:880,0.00%,218 ms
188.114.98.98:880,0.00%,219 ms
188.114.96.144:880,0.00%,220 ms
188.114.97.125:880,0.00%,220 ms
188.114.96.144:894,0.00%,222 ms
188.114.97.105:880,0.00%,222 ms
188.114.98.55:880,0.00%,222 ms
188.114.98.124:880,0.00%,222 ms
188.114.96.148:894,0.00%,223 ms
188.114.97.60:894,0.00%,223 ms
188.114.96.80:880,0.00%,224 ms
188.114.99.229:894,0.00%,224 ms
188.114.98.19:894,0.00%,225 ms
188.114.98.114:880,0.00%,225 ms
188.114.99.253:880,0.00%,227 ms
188.114.96.29:880,0.00%,227 ms
188.114.98.55:894,0.00%,227 ms
188.114.99.229:880,0.00%,228 ms
188.114.96.148:880,0.00%,228 ms
188.114.96.62:880,0.00%,228 ms
188.114.99.184:880,0.00%,229 ms
188.114.96.168:894,0.00%,229 ms
188.114.97.126:894,0.00%,229 ms
188.114.96.129:894,0.00%,229 ms
188.114.97.82:880,0.00%,229 ms
188.114.96.199:880,0.00%,230 ms
188.114.97.82:894,0.00%,230 ms
